#land-mine_noun	maMxupAwara
%awning_noun	cAMxini/RAmiyAnA
glittering_noun	meVravataM/camak_camak
glitteringly_adverb	walYawalYamani/walYawalYa
glitters_noun	meVrugulu/meVrupulu
gloat-at_verb	ASagA_cUcu
gloat_verb	AnaMxiMcu
global_adjective	prapaMcavyApwa
globally_adverb	prapaMcavyApwaMgA
globe_noun	globu/golYaM/aMxaM/maMdalaM
globular_adjective	gundrAkAra/boVMxu
globule_noun	guMdranEna/golYika/pUsa
globulin_noun	mAMsakqwwula_golYkaM
glom_verb	apaharaN/xoVMgaliMcu/xoVMgawanaM/xoVpidi_ceyadaM
gloom_noun	cIjIkati/viRAxaM/cIkati/nAxaM/nAxu
gloomily_adverb	viRAxaMgA/BAraMgA
gloomy_adjective	cIjIkatigA_vuMde/viRAxa/masaka/aMXakArabaMXura/vihIna
gloria_noun	gloriyA
glories_noun	OnnawyAlu/mahimalu
glorification_noun	SlAGava
glorified_adjective	mahima_paracina/swowramuceyabadda
glorify_verb	kIrwiMcu/_swuwiMcu/peVxxaceyi/swuwiMcu
glorious-person_noun	wejasvi
glorious_adjective	ahaMkAramEna/vEBavopewa/xivyamEna/SoBAyamAna/ujjvala/uxAwwa/uxBAsiwa/xexIpyamAnaM
glorious_verb	ujjvala
gloriously_adverb	vEBavopewaMgA/xivyaMgA
glory_noun	kIrwi/vEBavaM/mAhAwmyaM/mahAwyayaM/mahima/prasaswi/vAsi/wejaM/wejassu
glorying_noun	garvaM
gloss_noun	meVrupu/vyAKyAnaM/tippaNi
gloss_verb	vyAKyAnaM_ceVppu
glossary_noun	paxapattika/kosaM/paxakosaM/SabxasaMgrahaM/SabxAvalYi
glossiness_noun	kAMwi
glossy_adjective	meVrise/niganigalAde/masqNa
glottal_adjective	kaMTya
gloucesters_noun	gatti_junnu
glove_noun	cewiwoVdugu
glover_adjective	woVdguvesukunna
glow-of-fire-or-live-coals_noun	kanakana
glow-worm_noun	miNuguru_purugu
glow_adjective	prakASiMcu
glow_noun	meVrupu/veVlugu/xIpwi
glow_verb	meVruyu/eVrragA_kAgu/meVruvu/meVruyyi
glowed_adjective	maMduwunna
glowing-sensation-due-to-excitement_noun	pulaka[m],_pulakaram,_pulakariMwa
glowing-sensation_noun	gagurpAtu
glowing_adjective	prakASiMce
glowing_noun	kanakana
glowingly_adverb	xivyaMgA
glucose_noun	glUkoju
glue_noun	baMka
glueings_noun	baMka/jigata
gluey_adjective	jigatagA_vuMde
glum_adjective	cinnabuccukoVnna/uxAsIna
glumly_adverb	uxAsInaMgA
glut-ton_noun	Rodasa_brAhmaNudu/vApirigoVttu/wiMdipowu
glut-tons_noun	kukRiMBarulu
glut-tony_noun	kukRiMBarawvaM
glut_noun	awigAuMdadaM/veVkkasaM
glut_verb	niMcu
gluten_noun	baMka/mAMsakqwwula_miSramaM
glutinous_adjective	baMkagAunna/baMkagA_vuMde
glutted_adjective	mukkumoyawinna
glutton_noun	wiMdipowu
gluy_adjective	baMkagA_vuMde/baMkagA__vuMde
glycerin_noun	glijarin
glycerine_noun	glijarin
gnarl_noun	meVliwirugu
gnarled_adjective	graMXulugala/meVliwirigina
gnash_verb	palYlukoVruku
gnat_noun	xoma/masakaM
gnaw_verb	koVruku
gnawed_adjective	koVrikina
gnawing_adjective	koVrukudu
gnawing_noun	koVrakadaM/koVrukudu
gnicia_noun	gniRiyA
gnome_noun	buWaM/marugujju/Xana_piSAcaM
gnomes_noun	nIwislokAlu
gnosticism_noun	oVka_viXamEna_yogaSAswraM/oVka_viXamEna__yogaSAswraM
go-a-long-way-of-food_adjective	Ativaccu
go-about-among_adjective	meVlagu/meVlugu
go-about_adjective	kalayawirugu/masalu/meVsulu/nadayAdu
go-about_verb	masalu
go-against-s-o-'s-wishes_adjective	eVxuruwirugu
go-ahead_noun	muMxuku_veVlYlYadaM
go-along-with_verb	gittu
go-away_verb	veVlYlipo
go-back_adjective	malYlu/maralu/wirugumoVhaM_pattu
go-bad_verb	ceVdu
go-before-a-council-of-elders_adjective	raccaki_eVkku
go-beyond_verb	awikramiMcu/mIru
go-by_adjective	gadacu/gaducu/kadacu
go-cart_noun	wopudu_baMdi
go-crazy_adjective	wikkapattu
go-down_verb	kriMxapadu/kuMgu/padu/xigu
go-for-a-walk-_adjective	pacAru_ceyi,_pacArlu_ceyi
go-for-waste_adjective	murigipovu
go-forward_adjective	muMxuku_povu,_muMxuku_padu/purogamiMcu
go-from-place-to-place.-_adjective	pariBramiMcu
go-from-place-to-place_verb	pariBramiMcu
go-in-for-_adjective	pAlpadu/pAlupadu
go-in-for_adjective	maragu/pUnukoVnu
go-in-for_verb	maragu
go-in-procession_verb	Uregu
go-in_verb	coVccu
go-mad_adjective	walaceVdu
go-on-all-fours_adjective	xogAdu
go-on-o-'s-hands-and-knees_adjective	xogAdu
go-on-strike_adjective	sammeV_kattu,_sammeV_ceyi
go-on-with_verb	aMxukoVnu
go-on_adjective	nadacu/naducu/sAgu
go-on_verb	GatiMcu/kalugu/sAgu/saMBaviMcu
go-out-of-action-_adjective	mUlapadu
go-out-of-control_adjective	peVccumIru
go-out-of-order_adjective	mUlapadu
go-out_adjective	veVdalu
go-out_verb	veVdalu
go-through_verb	xuyyi
go-to-bed-_adjective	padukoVnu
go-to-camp_adjective	kamAnu_povu
go-to-meet_adjective	eVxuregu
go-to-receive_verb	eVxuregu
go-to-ruin_verb	pAdupadu
go-to-sleep_adjective	nixra_povu/nixriMcu/nixuriMcu
go-up_adjective	eVkku
go-well_adjective	oVnagUdu
go-wrong_adjective	beVdisipovu/beVdiyu/rasABAsaM_avu
go_adjective	aruxeVMcu/eguxeVMcu/eweVMcu/povu/vicceVyyi
go_verb	po/veVlYlu/bayaluxeru/canu/cAvu/egu/maraNiMcu/vicceVyyi
goa_noun	govA
goad_noun	mulugola/aMkuSaM/mulukola
goad_verb	mulugolawo_poVducu/mulugolawo__poVducu
goal_noun	guri/lakRyaM/ASayaM/gamyaM/XyeyaM
goalie_noun	gol_kIparu
goalkeeper_noun	gol_kIparu
goalkeepers_noun	golukIparlu
goalless_adjective	lakRyarahiwa
goat_noun	meka/mekapowu
goatee_noun	cirugaddaM
goatish_adjective	meka_kaMpukoVtte
gobbet_noun	wunaka
gobbin_noun	perukupovadaM
gobble-[up]_verb	boVkku/bukku
gobble-up-like-a-dog_verb	gawuku
gobble-up_verb	gawuku/meVkku
gobble_verb	boVkku/kukkuko/kuyyi
gobetween_noun	kuMteVnagAdu
goblet_noun	maxyaM_kappu/sWAli/caRakaM/kora
goblin_noun	hAsyakAri
goblins_noun	hAsyakulu
god's-abode_noun	xevalokaM
god-father_noun	Xarmapiwa
god-in-human-form_noun	avawAra_puruRudu
god-mother_noun	XarmamAwa
god-of-misfortune_noun	Sani
god-of-the-ocean-and-of-the-sky-and-the-rain_noun	varuNudu
god-of-the-wind_noun	pavanudu
god-who-assumes-human-guise-in-order-to-intervene-in-human-activities_noun	lIlAmAnuRa_rUpudu
god_noun	xevudu/BagavaMwulu/jiyya/velpu/velupu/viyaccarudu/xemudu/xEvaM/xevara/xevulYlYu
goddam_noun	goVddaM
goddess-of-beauty-_noun	rawi
goddess-of-beauty_noun	rawi
goddess-of-death_noun	mAreVmma/mAri/miwwi
goddess-of-famine_noun	kRAmaxevawa
goddess-of-ill-luck_noun	jeVRta/jyeRTa
goddess-of-literature_noun	sAraxa
goddess-of-misfortune_noun	jeVRta
goddess-of-poverty_noun	inapagajjeVla_walli
goddess-of-speech-and-literature_noun	BArawi
goddess-of-speech_noun	vANi
goddess-of-wealth_noun	siri/SrIya
goddess-who-is-the-patroness-of-a-village_noun	ammawalli
goddess-who-presides-over-village-boundaries_noun	poleramma
goddess_noun	xevawa/ammavAru/Bagavawi/jejeVmma/jejeV/velpu/velupu/xevi
godesend_noun	varaM
godfather_noun	jFAnapiwa
godhead_noun	xEvawvaM
godkin_noun	gAdkin
godless_adjective	pApiRti
godlike-person_noun	avawAra_puruRudu
godlike-quality_noun	xevawvaM
godlike_adjective	xEvIBUwa/awiGanamEna/xEvawulya
godliness_noun	xEvaSakwi/xEvawvaM/xevawvaM
godly_adjective	xEvaBakwigala
godmother_noun	jFAnawalli/jFAnamAwa
godot_noun	gAdAt
godown_noun	giddaMgi/goxAM/malYiga/maMxi
godparents_noun	xEvamUrwulu
gods-and-goddess_noun	xevawalu
gods-and-goddesses_noun	xevawa
godsend_adjective	xEvaxawwa
godward_adjective	xevunni_guriMci
godwin_noun	gAdvin
goer_noun	nadicetixi/veVlYlevAdu
goggle_noun	raMgutaxxAlu/gAgulsu
goggle_verb	kannArpakuMdAcUcu
goglet_noun	kUjA/surAyi
goin'_verb	lopaliki_veVllu
going-about_noun	caMkramaNaM/wirugudu
going-and-coming-back_adverb	rAnuponu
going-aound_noun	praxakRiNaM
going-away_noun	gamanaM/nataka_prasxAnamu
going-back_noun	wirugu
going-on-foot_noun	kAlinadaka
going-round_noun	wirugudu
going_adjective	veVlYladaM
going_noun	veVlYladaM/veVlYla/gamanaM/gawi/nataka_prasxAnamu/poka/pokada
goitre_noun	kaNiwi/gaMdamAla/puttalamma
gojjangi_noun	kewakaM/kewaki
gold-_noun	poVnnu
gold-and-silver_noun	kalaXOwaM
gold-coin_noun	niRkaM
gold-in-the-form-of-ore_noun	gErikaM
gold-or-silver-lace--=-jarii_noun	sariga
gold-or-silver-lace-woven-as-the-border-or-hem-of-a-garment_noun	jalwAru
gold-or-silver-thread-used-to-weave-an-ornamental-border-for-a-sari-or-dhoti_noun	jari/jarI
gold-pin_noun	pudaka
gold-thread_noun	cInaM
gold-waistbelt-worn-by-a-woman_noun	vaddANaM
gold-worker_noun	AcAri/kaMsali
gold[en]_adjective	kAMcanaM
gold_adjective	baMgAruwocesina
gold_noun	baMgAraM/baMgAru/cInaM/hemaM/hiraNyaM/kAMcanaM/kanakaM/kanakamu/kuMxanaM/pasidi/pEdi/puwwadi/puwwalYi/suvarNaM/suvarNamu/svarNaM/vasuvu/viluvEna_vaswuvu
goldberg_noun	goldbarg
goldbrick_verb	GAwamu_ceVyyi/hAwamu_ceVyyi/mosamu_ceVyu/vaMciMci_caMpu
golden-_adjective	pasidi
golden-jubilee_noun	svarNowsavaM
golden-number_noun	pawakaM
golden-yellow_adjective	aMbaru/pasimi
golden_adjective	baMgArapu/baMgAruwocesina/suvarNa/svarNa
golden_verb	poVnna
goldfinch_noun	baMgAru_piccuka
goldfinder_noun	pAkivAdu
goldfish_noun	baMgArucepa
goldie_PropN	goldI
goldie_noun	goldI
goldilocks_noun	baMgArapuraMgu_juttu
golding_noun	baMgArumayaM
goldn-smith's-portable-furnace-for-melting-precious-metal_noun	kamataM/kammataM
goldring_noun	bAgArapu_uMgaraM
goldsmith_noun	kaMsalAdu/svarNakArudu/AcAri/agasAli/kaMsali/kaMsAli/RarAbu/sarAbu/sunAri
goldthred_noun	baMgAru_xAraM
goldworker_noun	AcAri/kaMsali
golf_noun	golPu
golfer_noun	golP_AtagAdu
golfers_noun	golP_AtagAlYlYu
gone-by_adjective	poyina
gone_adjective	veVlYlina/apagawaM
gong_noun	gaMta/gaMwaGaMwa/GaMwa/jegaMwa
gonorrhea_noun	suKasaMkataM
gonorrhoea_noun	mehaM/seVgarogaM/seVgasaMkataM
goo_noun	aMtipeVttukoVnadaM
gooch_noun	gUc
good,-welfare,-wellbeing_noun	bAgu
good---beautiful_adjective	bAgu
good-advice_noun	boXa/hiwaboXa/hiwopaxeSaM
good-and-evil_noun	SuBASuBAlu
good-behaviour_noun	mariyAxa/maryAxa/saxAcAraM/SiRtawvaM/vinayaM
good-by_noun	seVlavu
good-bye_noun	seVlavu
good-condition_noun	suvyavasWa
good-conduct_noun	iluvadi/sacCIlaM/sanmArgaM/saxAcAraM/saxvarwana/SIlaM/SiRtAcAraM
good-deed-or-act_noun	Sukqvi
good-deed_noun	puNyaM/sawkAryaM
good-deeds_noun	SukqvaM/XarmaM
good-feeling_noun	sOmanasyaM
good-feelings_noun	saxBAvaM/saxBAvana
good-flavour_noun	majA/suruci
good-for-nothing-person_noun	baduxXAyi/nixramuKaM/vyarWudu/xevayya
good-for-nothing_adjective	koVragAni/koVramAlina
good-for-nothing_verb	koVragAni
good-fortune_noun	axqRtaM/BAgyaM/maMgalYaM/siri/sOBAgyaM/SoBanaM/SreyaM/Sreyassu/SrIya/Xanyawa
good-health_noun	kRemaM/kulAsA/KulAsA/svasWaM/svasWawa/svAsWyaM
good-heartedness_noun	peVxxabuxXi/saxBAvaM/saxBAvana
good-humour_noun	prasannawa
good-in-varying-senses-depending-on-the-noun-qualified_adjective	maMci
good-looking_adjective	cUdamuccatEna/AkarRaNIyamEna/cakka
good-looking_verb	cakkani
good-looks_noun	aMxacaMxAlu/sOMxaryaM
good-manners-_noun	saByawa
good-manners_noun	sarasawvaM,_sArasyaM,_svArasyaM/SiRtAcAraM
good-name_noun	prawiRta/prawiRTa
good-nature_noun	Apwawa/ApyAyawa/canuvu/mArxavaM/mArxavawa/sahqxayaM/sahqxayawa/sOjanyaM/sOSIlyaM
good-natured-or-amiable-person_noun	sAwvikudu
good-natured-or-mild-natured-person_noun	sOMyudu
good-natured-or-understanding-or-sympathetic-person.-_noun	sahqxayudu
good-natured-or-warm-hearted-person_noun	snehaSIli
good-natured-person_noun	sOmyudu
good-natured_adjective	mArxava
good-naturedly_adverb	ApyAyaM[gA]/sahqxayaMgA
good-news_noun	SuBavArwa
good-offices_noun	upacAraM
good-or-clear-understanding_noun	saxavagAhana
good-or-desirable-quality-or-characteristic_noun	salakRaNaM
good-or-pleasant-scent-or-smell_noun	sugaMXaM
good-or-virtuous-person_noun	sujanudu
good-point_noun	suguNaM
good-proportions_noun	sORtavaM
good-qualities_noun	guNagaNAlu/SiRtawvaM
good-quality_noun	salakRaNaM/suguNaM
good-relations_noun	bqguvu/sawsaMbaMXAlu
good-sense_noun	iMgiwaM/sumawi/suXi/vijFawa
good-sound_noun	sunAxaM
good-speaker_noun	mAtakAdu/mAtakAri
good-talker_noun	mAtakAdu/mAtakAri
good-taste_noun	rasikawa/rasikawvaM/sarasawvaM,_sArasyaM,_svArasyaM/suruci
good-temper_noun	sahqxayaM
good-understanding_noun	saxavagAhana
good-will.-_noun	sahqxayawa
good-will_noun	sammawi/saxBAvaM/saxBAvana/sOmanasyaM
good-wishes_noun	SuBaciMwanaM/suBAkAMkRalu
good[ness]_noun	maMci
good_adjective	maMci/yogyamEna/hiwa/leVssa/sAxu/sAXu/SuBa/suRtu
good_determiner	sari
good_interjection	sari
good_noun	maMci/anukUlaM/bAgu/hiwaM/melu/SiRtudu
good_verb	hiwa/leVssa/maMci
goodbreeding_noun	maryAxa
goodbye_adverb	salAmu
goodbye_noun	vIdkolu
gooders_noun	gudars
goodey_noun	maMciwanaM
goodheartedness_noun	sOhArrxaM/soVhArxaM
goodhumour_noun	ullAsaM
goodhumoured_adjective	ullAsaMgA_uMde
goodies_noun	maMcivi
goodis_noun	SuBAlu
goodlooking_adjective	muccata_vaccu,_muxxuvaccu
goodly_adjective	aMxamEna/suMxaramEna
goodman_noun	maMcivAdu
goodnature_noun	maMciwanaM
goodnatured_adjective	maMcisvaBAvamugala
goodness_noun	maMci/maMciwanaM/callawanaM/melu/nayaM/sAwvikaM/sORtavaM/xaya
goods-train_noun	mAlgAdI
goods_noun	sAmAnulu/sarukulu/sAmAnu/saraku/saraMjAmA/saruku
goods_verb	goVrigeyu/goVrigi_veVyyi
goodwill_noun	suhqxBAvaM/ApyAyawa/AxarABimAnAlu
goodwin_noun	gudvin
goody_noun	maMcixi/yiMti_ApeV/iMti_ApeV
gooedy_adjective	aMtukoVnivuMde
gooey_adjective	baMkagAunna
goofy_adjective	mUrKa
googaaku_noun	goMgUra
googu_noun	goMgUra
goopuram_noun	xaxxadaM/xaxxalYaM
goose-or-swan_noun	wUlika
goose-skin_noun	cakkiligiMwa
goose_noun	bAwu/peVxxa_bAwu
gooseberry_noun	rAca_usirika
gorbellied_adjective	peVxxakadupugala
gorboduc_noun	gArduk
gordian-knot_noun	ceVdda_cikku
gore_noun	kArinaneVwwuru
gore_verb	kummu/poVducu
gorge_noun	kaMtaM/pravAhaMgala_loya/cariya/kona
gorge_verb	kabalYiMcu
gorged_adjective	miMgina
gorgeous_adjective	axBuwamEna/xivyamEna
gorgeously_adverb	axBuwaMgA
gorgeousness_noun	SoBa
gorges_noun	kanumalalo_irukuxAri
gorget_noun	kaMTakavacaM
gorham_noun	gorhAM
gorilla_noun	goVrillA
gormandize_verb	amiwaMgA_winu/amiwaMgA___winu
gormandizer_noun	amiwaMgA_winevAdu/amiwaMgA___winevAdu
gormandizing_noun	awiBojanaM
gorse_noun	mulYlaceVttu
gory_adjective	xAruNamEna
gosforth_noun	gAsPorW
goshawk_noun	sAlYuvadega
gosling_noun	bAwupilla
gosney_noun	gasnI
gospel-truth_noun	vexavAkyaM
gospel_noun	SuBavArwa/xEvavAkku/suvArwa
gospels_noun	SuBavArwalu/suvArwalu
gossip_adjective	UsulAdu
gossip_noun	saKI/vyarxaprasangaM/bAwAKAni/kaburlu/kaburu/kAkamma_kaburlu/kAkamma_kburlu/lokABirAmAyaNaM/piccApAtI/pocukolu_kaburlu/suxxi/Suxxi/ubusu/ubusupoka/Usu/Usupoka
gossip_verb	vqXAmAtalAdu/UsulAdu
gossipping_noun	muccata
gosson_noun	bAludu
gossypium-_noun	pawwi,_prawwi
got-a_verb	saMpAxiMcu
gotard_noun	gAtard
gothic_adjective	motEna
gotta_verb	poMxu
gotten_verb	poVMxu/saMpAxiMcu
gouge_noun	gorupuli
gouge_verb	poVducu/raMxraMceVyyi
goulding_noun	vAwarogaM/vAsana
gourd_noun	soVrakAya/gummadi/kURmAMdaM
gourmand_noun	wiMdibowu
gourmet_noun	pAkaSAswrapravINudu
gout_noun	kIlYlavyAXi/ruci/vAwarogaM
gouty_adjective	vAwarogamugala
gov_noun	praBuwvaM/gavarnaru
govern-_verb	pAliMcu
govern_verb	pAliMcu/paripAliMcu/elu/elu[koVnu]/SAsiMcu
governance_noun	paripAlana/praBuwa
governed_adjective	pAliwa
governess_noun	pAlika/kApuxi/AyA
governing-body_noun	aXiRtAna_vargaM
governing_adjective	pAlaka
government-_noun	praBuwvaM
government-land-reserved-for-communal-use-in-a-village_noun	baMceVrAyi/gErAn
government-land_noun	poraMboku
government-office-building_noun	xevadI/xevidI
government-official_noun	uxyogasWuxu
government_adjective	praBuwva
government_noun	praBuwvaM/elubadi/rAjyaM/rAjyapAlana/sarkAru/xoVrawanaM
governmental-boundary-stone_noun	sarve_rAyi
governmental_adjective	praBuwva
governor_noun	gavarnaru/pAlakudu/aXinAWudu
governorship_noun	gavarnarupaxavi
govlin_noun	xayyaM
gower_noun	govar
gown_noun	aMgi/gOnu/aMgI
gowrie_noun	gOrI
grab_verb	lAkko/guMju/oducu/vadukkoVnu/xevukoVnu
grabber_noun	kabjAxArudu
grabbing_noun	AkramiMcadaM/kabjAceyataM/kabjA
grabble_verb	puNuku
grabby_adjective	awyASagala/baMkamucEna_alpaMcudEna/loBiyEna/pisinArEna/pisinigoVttugala
grabs_verb	lAkkoVnnu
grabski_noun	grAbski
grace-_noun	prasAxaM
grace_noun	kqpa/soVgasu/anugrahaM/gaduvu/ceVnnu/hoVyalu/hoyalu/kalYa/karuNa/lAliwyaM/oppixaM/oVppixaM/oVppu/oVyyAraM/poVMkaM/sOkumAryaM/soVMpu/SqMgAraM/vEyAraM/vilAsaM/xaya
grace_verb	SqMgAriMcu
gracecup_noun	prayANamE_poVyyetappudu
graced_adjective	SqMgAriMcabadda
graceful-and-affected-movement-of-the-body_noun	kuluku
graceful-woman_noun	cilakalakoVliki/wanvi
graceful_adjective	soVgasEna/huMxAEna/aMxAla/jAnu/kamanIya/laliwa/rasAwmaka/SqMgAraM
graceful_noun	kuluku
gracefully_adverb	huMxAgA/sarasaMgA/kuxurugA/poVMkaMgA
gracefulness_noun	sarasawa/kuxuru/muripeVM
graceless_adjective	xikkumAlina
gracelessly_adverb	xuRtawanaMgA
graces_noun	xaya
gracious-and-merciful_noun	kqpAlYuvu
gracious_adjective	AxarapUrvaka/kqpagala/prasanna
gracious_noun	xayAlYuvu
graciously_adverb	sAxaraMgA/xayagA
graciousness_noun	xaya/mAhAwmyaM/mahAwyayaM/xayAlYuwvaM
gracle_noun	goruvaMkapakRi
gradation_noun	meVttuvarasa
grade_noun	aMwaraM/waragawi/sWAyi/SreNi/klAsu/SAKa/vargamu
graded_verb	waragawulugA_viBajiMcu
grades_noun	SreNulu
gradfin_noun	grAdPin
gradient_noun	xigudu/vAlu/awikramaM/uwpalaM
gradients_noun	etavAlulu
grading_noun	SreNIkaraNaM/SravanIkaraNa
gradual-development_noun	kramapariNAmaM
gradual_adjective	krama/kramakramamEna/kAlakrama
gradually_advbl.	anugawaMgA
gradually_adverb	kramaMgA/kramakramaMgA/aMceVlaMceVlugA/aMwakaMwaku/koVMceVM_koVMceVMgA/kramAnugawaMgA/kramaSaH/kramasyA/krameNa/kramepi/meVllagA/meVlligA/nAnAtiki/neVmmaximIxa/nimmalYaMgA,_nimmalYaM_mIxa/niMpAxigA/ponu_ponu/rAnurAnu/uwwarowrA
graduate_noun	pattaBaxrudu/snAwakudu/pawwaBaxrudu
graduated_adjective	pattaBaxrudEna/kramAMkiwa
graduating_noun	pattaBaxrudavadaM
graduation_noun	pattaBaxrawa/kramaviBAgaM/kramAMkanaM
graeme_noun	grAmI
graffiti_noun	godarAwalu
graffito_noun	godamIxirAwa
graft_noun	akramavyApAraM/aMtu
graft_verb	aMtugattu/awikiMcu
graftcoat_noun	grAPtkot
grafted_adjective	aMtupeVttina
grafting_noun	awikiMcadaM
grafton_noun	grAPtan
grafts_noun	aMtukattadaM
grain-bin_noun	putti
grain-brought-home-after-harvest_noun	aMbAraM
grain-cellar_noun	kaNajaM
grain-in-the-sun-_verb	parucu
grain-left-after-harvesting_noun	leki
grain-measure-equal-to_noun	gariseV
grain-not-quite-ripe-but-fit-for-eating_noun	arakabiyyaM/atukulu
grain-not-quite-ripe.-2_noun	pisikilYlYu
grain-of-food-left-over_noun	ili
grain-of-salt_noun	uppukallu/uppurAyi
grain-or-particle-of-sand_noun	isumu
grain-pit_noun	pAwara
grain-spread-out-to-dry-in-the-sun_noun	eVMdugulu
grain-threshed-but-not-yet-winnowed_noun	bUgara/maxanaM
grain_adjective	anuloma
grain_noun	giMja/XAnyaM/galla/reNuvu/sasyaM/UcabiyyaM
grain_verb	ximmariMcu
grains-of-paddy_noun	meVrikalu
grainy_adjective	masaka
gram,-aspirate-a-consonant_verb	oVwwu,_vawwu
gram_noun	grAM/gurraMmewa/AwmanepaxaM
gramercy_determiner	ayyo
gramercy_interjection	ayyo
graminivorous_adjective	gaddiwine
gramma-tology_noun	lipiSAswraM
grammar_noun	vyAkaraNaM/lakRaNaM
grammarian_noun	vyAkaraNavewwa/lAkRaNikudu/vEyAkaraNudu
grammatic_adjective	vyAkaraNa_saMbaMXamEna
grammatical-class-noun_noun	BARABAgaM
grammatical-class_noun	BARABAgaM
grammatical-form_noun	vyAkaraNarUpaM
grammatical-increment_noun	AgamaM
grammatical-meaning_noun	vyAkaraNArWaM
grammatical-science_noun	lakRaNaM
grammatical_adjective	vyAkaraNasaMbaMXa
grammatically-acceptable_adjective	vyAkaraNayukwa
grammatically_adverb	vyAkaraNAnusAraMugA
gramme_noun	grAM
gramophone_noun	grAmaPonu
grampian_noun	grAMpiyan
gramps_noun	grAMps
grampus_noun	oVka_brahmAMdamEna_cepa
grams_noun	pappuxinusulu,_pappuXAnyAlu
gran_noun	avva/bAmma/jejamma/jeji/musalamma/nAnamma/nAyanamma/piwAmahi
granary_noun	godAM/grAnary/kalYaMjaM/gariseV/koVtAru/pAwara/XAnyAgAraM/XAnyakosaM
grand,-fine,-showy,--ostentatious_adjective	xarjA
grand-drama_noun	maharnAtakaM
grand-lady_noun	nApasAni
grand_adjective	GanamEna/goVppa/Gana/soVMpu/TIvi/vEBavopewa
grand_verb	Gana/goVppa
grandam_noun	musilamma
grandchild_noun	manamadu/manamarAlu/manavadu
granddaughter_noun	manamarAlu/manumarAlu/pOwri/xOhiwri
grandee_noun	goVppavAdu
grandest_noun	SiKAmaNi
grandeur_noun	xarjA/vEBavaM/aMgaraMga_vEBavaM/gAMBIryaM/gOravamu_kaligina_vAru/mahAniBAvulu/OnnawyaM/peVxxavAru/prABavaM/prawiBa/soVMpu/TIvi
grandfather-of-the-Pandavas-and-Kauravas_noun	BIRmudu
grandfather_noun	wAwayya/jejeV/piwAmahudu/wAwa
grandiose_adjective	patAtopaMwokUdina/AdaMbarapUrNa
grandly_adverb	goVppagA/ganaMgA/GanaMgA/huMxAgA/pralYayaMgA/vEBavaMgA/vedukagA/wAjugA/xarjAgA
grandma_noun	nAnnamma/ammamma/avva/bAmma/jejamma/jeji/musalamma/nAnamma/nAyanamma/piwAmahi
grandmaster_noun	agragAmi_[caxaraMgaMlo]
grandmother.lit.-even-if-your-grandmother-comes_noun	jejeVmma
grandmother_noun	ammamma/nAnnamma/avva/bAmma/jejamma/jeji/mAmma/musalamma/nAnamma/nAyanamma/piwAmahi
grandpa_noun	wAwayya
grandparent_noun	wAwa/wAwamma
grandpat_noun	grAMdpAt
grandson_noun	manamadu/manumadu/pOwrudu/xOhiwrudu
grandstand_noun	paMxeVM_sWalaMlo_praXAnamEna_sWAnaM
grange_noun	XAnyaMkoVttu
granger_noun	kqRakudu/rEwu/vyavasAyakudu
granite_noun	rAyi/koVMdarAyi
grannam_noun	musilamma
grannie_noun	avva/bAmma/jejamma/jeji/musalamma/nAnamma/nAyanamma/piwAmahi
grannies_noun	ammammalu/bAmmalu
granny_noun	ammamma/nAnnamma/avva/bAmma/jejamma/jeji/musalamma/nAnamma/nAyanamma/piwAmahi
grans_noun	muwwavulu/jejeV_wAwalu
grant-of-land-on-feudal-tenure_noun	amarakaM
grant-or-lease-specifying-land-held-by-a-cultivator-and-revenue-payable-on-it-_noun	pattA
grant-permission_adjective	seVlavu_iccu/seVlavu_ippiMcu
grant-permission_verb	seVlavivvu/seVlavu_iccu/seVlavu_ippiMcu
grant_noun	niXi/xAnaM/prasAxaM
grant_verb	ivvu/maMjUru_ceVyyi/anugrahiMcu/iccu/ippiMcu/prasAxiMcu/xAnaM_ceVyyi
granted_adjective	xawwaM
grantee_noun	grhIwa/xAnaM_wIsukoVnna_vAdu/grahIwa
granting-immunity_noun	svawaMwryamu/svecCa/viduxala/vimukwi
granting_noun	maMJUruceyadaM
grantor_noun	xAwa
granulate_verb	kaNAlugA_erpadu
granulated_adjective	nUkalunUkalugA_yerpadda
granulation-tissue_noun	wassa/xurmAMsaM
granulation_noun	nUkalunUkalugA_yerpadadaM
granule_noun	kaNaM/kaNika
granules_noun	aparAlu
granville_noun	kaMkara/grAveVl
grapall_noun	vUrukoVtti_notlo_vesukune_vAdu/UrukoVtti_notlo_vesukune_vAdu
grape-vine_noun	xrAkRa_wota
grape_noun	xrAkRa/xrAkRapaMdu/aMgUru
grapefruit_noun	xrAkRa_paMdu
grapes_noun	xrAkRalu
grapevine_noun	xrAkRa_wota
graph_noun	reKApataM/reKa
graphic_adjective	spaRtamEna/SilpasaMbaMXamEna
graphical_adjective	waxrUpaMgA
graphically_adverb	prawyakRaMgA
graphics_noun	reKalu
graphite_noun	nalla_sIsaM/nallasIsaM
grapple_adjective	porAdu
grapple_noun	kuswIpoti/mallayuxxamu/muRtiyuxxamu
grapple_verb	pIkulAdu/walapadu/muRtiyuXXaMlo_pattu
grappler_noun	malludu/PElvAnu
grappling_noun	laMgaru/kuswIpoti/mallayuxxamu/muRtiyuxxamu
grartification_noun	saMwoRaM
grashopper_noun	midawa
grasp-_noun	pidikili
