??equivalent_noun	wulyAfka
improvement_noun	suXAra/saMSoXana/samunnawi/afBavqxfXa_(viXi)
improvisation_noun	kAmacalAU_vyavasWA/wAwkAlika_vyavasWA
improvise_noun	kAma_calAnA/wAwkAlika_vyavasWA_karanA
impulse_noun	Avega
impurities_noun	apaxravya
imputation_noun	aByAropaNa/lAFCana/AropaNa
impute_noun	aByAropiwa_karanA/lAFCana_lagAnA
in-fix_noun	awa:_lagna
in-house_noun	Anwarika
in-toto_noun	sampUrNawaH
inability_noun	ayogyawA/asamarWawA
inaccessible_noun	pahuca_se_pare/agamya
inaccurate_adjective	asArWaka
inadequate_noun	aparyApwa
inadmissible_noun	asvIkArya/agrAhaya
inadvertence_noun	anavaXAnawA
inadvertently_noun	anajAne/asAvaXAnI_se/BUlavaSa
inapplicable_noun	aprayojya
inauguration_noun	uxGAtana
inbreeding_noun	anwaHprajanana
incapacitation_noun	asAmaWrya
incentive_noun	prowsAhana
incessant_noun	niranwara/anavarawa/avirAma
incidence_noun	Apawana/praBAva
incident_noun	Apawiwa/GatanA
incidental_noun	AnuRafgika/prAsafgika
incipient_noun	ArabXa/prAramBI/AramBI
incite_noun	BadakAnA/ukasAnA/uxxIpwa_karanA_(viXi)
incitement_noun	uxxIpana/ukasAva
inclination_noun	DalAna/JukAva/pravqwwi/nawi/Anawi/pravqfwwa/rUJAna
incline_noun	DAla/JukAnA/JukanA/JukAva/Anawa
inclined_noun	Anawa/nawa/pravqwwa/icCuka/JukA_huA
included_noun	anwarviRta
inclusion_noun	anwarveSa/anwarveSana/samAveSana/anwaverSana/samAveSa/safmmalana(viXi)
inclusive_noun	sahiwa
inclussion_noun	anwarveSa
incognito_noun	ajFAwa/gupwa_rUpa_se
incoherent_noun	asambaxXa/asafgawa
income_noun	Aya
incoming_noun	Avaka/AganwA
incompatible_noun	bemela
incompetency_noun	akRamawA
incompetent_noun	akRama
incomplete_noun	aXUrA
incompressibility_noun	asampIdyawA
incompressible_UNDEFINED	asampIdya
inconclusive_noun	anirNIwa
incongruous_noun	asafgawa/bewukA
inconsistency_noun	asafgawawA/asafgawi/asNanwawA
inconsistent_noun	asafgawa
inconvenience_noun	asuviXA
inconvenient_noun	asuviXAjanaka
incorporate_noun	nigamiwa_karanA/samAviRta/sammiliwa_karanA
incorporated_noun	samAviRta/safmmilawa/nigamiwa
incorporation_noun	samAveSana
increaser_noun	viswAraka
incredible_noun	aviSvasanIya
increment_noun	vewana-vqxfXa/vewana_vqxXi/vqxXi
incrementation_noun	aMSavqxXi
incriminate_noun	aparAXa_meM_PaMsAnA/aparAXa_meM_PasAnA
incumbent_noun	paxaXArI/paxasWa/ASrayI
incumbrance_noun	villafgama_(viXi)/BAra
indeed_noun	vAswava_meM
indegree_noun	anwa:koti
indemnification_noun	kRawipUraNa
indemnify_noun	kRawipUrwi_karanA
indemnity_noun	kRawipUrwi
indent_noun	aBisWApana/inateMda/mAfgapawra/mAga-pawra/iMdeMta/mAzga/xanwura_cihna/aXiyAcana/mAfga
indentor_noun	mAfgakarwA/mAgakarwA
indenture_noun	vileKa/xaswAveja
independent_noun	svawanwra
indestructible_adjective	avinASI
index_noun	anukramaNikA/anukramaNI/sUcaka/GAwAfka/sUcakAfka
indexer_noun	anukramaNIkAra/indeksara/sUcakAfka/nirxeSikA
indexing_noun	sUcI_banAnA/anuBAjana/anukramaNI_banAnA/sUcIkaraNa
india_noun	BArawa/iMdiyA
indicate_noun	sUcana/iMgiwa/sUciwa_karanA
indicating_noun	sUcaka/saMsUcaka
indication_noun	safkewa/sUcana/safkewa_sUcanA
indicator_noun	safkewaka/sUcaka
indict_noun	aByAropiwa_karanA/ilajAma_lagAnA
indifference_noun	uxAsInawA
indigenous_noun	svaxeSI/xeSI/xeSaja
indigenously_UNDEFINED	pUrNawaH_BArawIya_saMsAXanoM_kA_upayoga_karake
indirect_noun	aprawyakRa/parokRa
indiscipline_noun	anuSAsanahInawA
indiscretion_noun	aviveka
indiscriminate_noun	avivekI/avicArapUrNa/anXAXunXa
indispensable_noun	aparihArya
indisputable_noun	nirvivAxa
indistinct_noun	aspaRta
individual_noun	vyakwi/vyafRta/vEyakwika/vyakwigawa
individually_adverb	pqWaka_rUpa_se
individually_noun	alaga-alaga/vyakwiSa:
indorsement_noun	pqRTAfkana/becAna
induced_noun	preraka/preriwa
inducer_noun	preraka
inductance_noun	prerakawA/prerakawva
induction_noun	preraNa/samAveSana/praveSana
inductive_noun	preraNika
inductivity_noun	prerakawA
inductor_UNDEFINED	preraka
inductor_noun	preraka
industrialist_noun	uxyogapawi
industrialization_noun	uxyogIkaraNa/OxyogIkaraNa
industrious_noun	aXyavasAyI
industry_noun	uxyoga
ineffective_noun	apraBAvI/niRpraBAvI
inefficiency_noun	axakRawA
inefficient_noun	axakRa/akRama
inelastic_UNDEFINED	aprawyAsWa
inelastic_adjective	aprawyAsWa
inelastic_noun	aprawyAsWa
ineligibility_noun	apAwrawA
ineligible_noun	apAwra
inequality_noun	asamawA/asamikA
inert_noun	akriya/jada
inertia_noun	jadawva
inertial_noun	jadawvIya
inevitable_noun	avaSyamBAvI/aparihArya
inexpedient_noun	asamIcIna
inextensible_UNDEFINED	aviwAnya
inextensible_adjective	aviwAnya
inface_noun	kagAramuKa
infant_noun	SiSu
infanticide_noun	SiSuhawyA
infected_noun	safkramiwa
infection_noun	safkramaNa/roga_safkramaNa
inference_noun	anumAna/anumiwi
inferior_noun	nimna/avara
inferiority_noun	hInawA
infertility_noun	anurvarawA/bAFJapana
infestation_noun	bAXA/pIdA
infested_noun	graswa
infiltrate_noun	gupwa_praveSa/GusapETa
infiltration_noun	risanA/anwarJaranA/
infiltrometer_noun	risAva_mApI
infinite_noun	aparimiwa
infinitesimal_noun	ananwa_sUkRma
infinity_noun	ananwa
infirmity_noun	aSakwawA/xOrbalya
inflammable_noun	jvalanaSIla
inflammablet_noun	valanaSIla
inflation_noun	muxrAsPIwi/muxrA_sPIwi/havA_BaranA/sPIwi
inflationary_noun	sPIwika/sPIwikArI
inflexion_noun	nawi_parivarwana
inflorescence_noun	puRpakrama
inflow_noun	anwarvAha
influence_noun	praBAva/asara
influential_noun	praBAvaSAlI
informal_noun	anOpacArika
informatics_noun	sUcanA_vijFAna/sUcanikI
information_noun	sUcanA
informative_noun	sUcanAparaka/sUcanAwmaka
infrared_noun	avarakwa
infrasonic_noun	avaSravya
infrasonics_noun	avaSrAvikI
infrastructure_noun	avasaMracanA/avaracanA/AXAraBUwa_DAzcA/avasWApanA/AXaraBUwa_DAFcA/AXArika_saMracanA/buniyAxI/AXAraBUwa_DAFcA/buniyAxI_suviXAeM/DAFcAgawa
infringe_noun	awilafGana_karanA_(viXi)/ullafGana_karanA
infringement_noun	awilafGana/ullafGana/awikramaNa
ingot_noun	piMda/SilikA/nipiMda/sillI
ingradient_noun	Gataka
ingredient_noun	safGataka/avayava/upAxAna
inherent_noun	anwanihiwa_sahaja/anwarnihiwa/anwarniRTa/nihiwa
inherit_noun	virAsawa_meM_pAnA
inheritance_noun	vaMSAgawi/vaMSAnukrama/vaMSAnugawawA/virAsawa/uwwarAXikAra
inhibit_noun	niroXa/xamana
inhibition_noun	sanxamana/niroXa/niReXa/niroXana
inhibitor_noun	niroXI/niroXaka/sanxamaka
inhomogeneity_noun	asamAfgawA
inhomogeneously_noun	asamAfgI
inhomogeneoustransformer_noun	asamAfgI_trAMsaPArmara
initial_noun	AramBika/prAWamika/Axima/prAramBika/Axi/prAraMfBaka
initialization_noun	AramBIkaraNa/prAAraMmBikIkaraNa/prAramBana/prAramBikIkaraNa
initials_noun	AxyakRara
initiate_noun	prAramBa_karanA/upakramaNa/pahala_karanA/Su_digrI_karanA
initiation_noun	prAramBa/prAramBana
initiative_noun	pahala/pahala_Sawi/sUwrapAwa-kRamawA/svapreraNA
initiator_noun	prAramBaka
injected_noun	anwa:kRipwa
injecting_noun	anwa:kRepI
injection_noun	anwa:kRepaNa
injector_noun	anwa:kRepiwra
injuction_noun	vyAxeSa
injury_noun	kRawi
inland_noun	anwarxeSIya_/anwa:sWalIya_(jEse_jalamArga)
inlet_noun	anwargama/praveSikA
innocuous_noun	ahAnikara/hAnirahiwa/anapakArI/nirApaxa
innovation_noun	navAcAra/nava_pravarwana/navonmeRa/navapravarwana/navInIkaraNa/navIna_kArya
innumerable_noun	asafKya
inoculants_noun	saMropya
inoculate_noun	saMropaNa
inoculation_noun	niveSana/saFcaraNa/tIkA/tIkA_lagAnA
inoculator_noun	tIkA_lagAne_vAlA
inoperative_noun	apravqwwa
inordinate_noun	awyaXika
inorganic_noun	ajEva/akArbanika/ajEvika
inposition_noun	sWiwi/mOjUxA_paxasWApanA
input_noun	anwargAmI/AxAna/niviRta/niveSa//inaputa
inquiry_noun	pUCawACa_jAca
inr_noun	BArawIya_rupayA
inscribe_noun	cirAfkana
insect_noun	kIta/kIdA
insecticide_noun	kItanASaka/kItanASI
insensitive_noun	asaMvexanaSIla
insensitiveness_noun	asaMvexiwA
insert_noun	anwa:sWApiwa_karanA/meM_raKanA/niveSana/niveSa/niviRta/bETAnA
insertion_noun	niveSana/anuwiRTana/sinnaveSa
insight_noun	anwaxqfRta
insignia_noun	aXicihna
insignificance_noun	mahawvahInawA/wucCawA
insoluble_noun	avileya
insolvency_noun	xivAlA/xivAliyApana
inspect_noun	nirIkRaNa_karanA
inspection_noun	nirIkRaNa
inspector_noun	nirIkRaka
inspectorate_noun	nirIkRaNAlaya
inspiration_noun	preraNA
instability_noun	asWAyiwva/asWirawA
installation_noun	aXiRTApana/saMsWApana/prasWApana/sWApanA/prawiRTApana
installment_noun	kiswa
instalment_noun	kLswa
instance_noun	xqRtAnwa
instant_noun	kRaNa/kRaNika
instantaneous_adjective	wAwkRaNika
instantaneous_noun	wAwkRaNika
instar_noun	avasWA
instigate_noun	ukasAnA
instigation_noun	ukasAhata
institute_noun	saMsWAna/saMsWA/saMsWApiwa_karanA/sWApiwa_karanA/calAnA/prAramBa_karanA
institution_noun	saMsWA
institutional_noun	saMsWAgawa/sAMsWAnika
instruction_noun	anuxeSa/hixAyawa
instructions_noun	anuxeSa
instructor_noun	anuxeSaka
instrument_noun	sAXiwra/OjAra/yanwra/upakaraNa/yanwra_(liKawa_/prapawra
instrumentalist_noun	vAxaka/yanwra-vAxaka
instrumentation_noun	mApayanwraNa/iMstrumeteM_Sana/yanwrIkaraNa/yanwra/pariSuxXa_sAja
instruments_noun	upakaraNa-yanwra
insubordination_noun	anaXInawA/avajFA
insulated_noun	URmAroXI/wAparoXI
insulation_noun	roXana/vixyuwa_roXana/roXa/vixyuwaroXana/visaMvAhana
insulator_noun	avaroXI/URmAroXI/roXI/vixyuwaroXI/vixyuwaroXaka
insurance_noun	bImA
insure_noun	bImA_karanA
insured_noun	bImA_kiyA_huA/bImAkqwa
intake_noun	anwagrarhaNa/anwargrAhI/anwargrahaNa/inateka
integer_noun	pUrNAfka
integral_noun	aBinna/ekIkqwa/afBanna/aviBAjya/samAkala/pUrNAfkIya
integrated_noun	ekIkqwa/samAkaliwa/samekiwa
integration_noun	ekIkaraNa/samAkalana/aKaNdawA
integrator_noun	samakalaka/samAkalaka
integrity_noun	aKaNdawA/sawyaniRTA/ImAnaxArI/niRTA/sawya_niRTA
intelligence_noun	AsUcanA
intelligibility_noun	boXagamyawA
intelligible_noun	boXagamya
intemperance_noun	asaMyama
intend_noun	uxxeSya/irAxA_karanA
intended_noun	aBiprewa
intensification_noun	saGanawA
intensifier_noun	prakarRaka/wIvraka
intensitometer_noun	wIvrawAmApI
intensity_noun	prabalawA/wIvrawA/ugrawA/prakarRa
intensive_noun	gahana/prakqRta/wIvra
intent_noun	ASaya
intention_noun	afBaprAya/ASaya
intentionally_noun	sAfBaprAya/sASaya
inter-communication_noun	anwarAsaFcAra/anwarA-saFcAra
inter-cultivation_noun	nirAI-gudAI
inter-departmental_noun	anwarAviBAgIya
inter-dependent_noun	anwaHnirBara/paraspara_nirBara
inter-dispersed_adjective	anwarparikRipwa
inter-se-seniority_noun	paraspara_variRTawA
inter-state_noun	anwararAjyIya
inter-unit_noun	anwarA_ekaka
interaction_noun	anayonyakriyA/anyonya_kriyA/pArasparika_kriyA/anyonyakriyA/pArasparikakriyA/pAraparika_kriyA/anwaHkriyA
interatomic_UNDEFINED	anwaraparamANuka/anwarAparamANuka/anwarA-paramANavika
interatomic_noun	anwarAparamANu/anwaraparamANvika
interception_noun	anwagrrahaNa/anwarAvaroXana/anwaHroXana/anwaragrahaNa/roka_lenA
interceptometer_noun	anwarroXanamApI
interchangeability_noun	anwarparivarwanIyawA/axalA-baxalI
interchangeable_noun	anwaraparivarwanIya
interchanger_noun	vinimAwra
intercorrelation_noun	paraspara_sahasambanXa
intercosmos_noun	anwarabrahmANda
intercrop_noun	anwarA_sasyana/anwaHsasyana
intercropping_noun	anwaH_Pasala/anwara_Pasala/anwarAsasyana/anwaHPasalIkaraNa/anwaraPasalIkaraNa
intercrossing_noun	anwarA_safkramaNa
interdependent_noun	anyonyASriwa
interest_noun	byAja/byAja_(hiwa/hiwa
interface_noun	anwarAPalaka/anwarApqRTa/iMtaraPesa
interfacing_noun	anwarApqRTana
interfere_noun	haswakRepa_karanA
interference_noun	haswakRepa/bAXA_dAlanA/vyawikaraNa
interferograms_noun	vyawikaraNaleKa
interferometer_noun	vyawikaraNamApI/iMtaraPeromItara
interferometry_noun	vyawikaraNamiwi
interflow_noun	anwaprarvAha/anwarvAha
intergranular_noun	anwarAkaNika
interim_noun	anwarima
interior_noun	aByanwara/anwarafga/anwa:anwargUDa/Anwarika/anwa:sWa/anwa/anwasWa:
interlace_noun	anwargraWana/anwargraWa
interlacing_noun	anwargranWana
interleave_noun	anwa:pawraNa/anwa:pawraNa_karo
interleaving_noun	anwagranWana/anwa:pawraNa
interlinked_noun	anwaH_sambaxXa
interlock_noun	iMtaraloYka/anwaHpASa
interlocking_noun	anwarpASana
intermediary_noun	maXyavarwI/maXyavarwIZ/maXyaga
intermediate_noun	maXyavarwI/mAXyamika/maXya/maXyaka/maXyavarwIZ/iMtara_pAsa_(vyakwi)
intermediatetemperature_noun	maXya_wApa
intermediation_noun	maXyasWawA
intermittent_noun	savirAma/anwarAyika
intermodulation_noun	anwarAmoYdulana
intermolecular_UNDEFINED	anwarANvika/anwarAparamANuka/anwarA-ANavika
intermolecular_adjective	anwarANvika
intermolecular_noun	anwarANuka
internal_noun	Anwara/Anwarika/aByanwara/AByanwarika
international_noun	anwararARtrIya/anwarrARtrIya
internet-draft_noun	iMtaraneta_drAPta
internet_noun	anwarAjAla/iMtaraneta
internetworking_noun	parisaFcAlana
internode_noun	parva/porI
interplanetary_noun	anwarAgrahIya
interplant_noun	anwapOXa/anwarA-pOXa
interplay_UNDEFINED	pArasparika_praBAva/Kela
interplay_noun	pArasparika_kriyA/pArasparika_praBAva
interpolate_noun	anwarveSana
interpolation_noun	anwarkalana/anwarveSana/anwaverSana/prakRepa_(pATa)/anwaraveRaNa_(Akade)
interpret_noun	vivecaka/vyAKyA_karanA/arWa_bawAnA/nirvacana_karanA
interpretability_noun	vivecanIyawA
interpretation_noun	arWa_nirvacana/arWa_lagAnA/arWa_vAcana/nirvacana/vyAKyA/arWanirNaya/prawipAxana/vivecanA
interpreter_noun	anuxeSAnwaraka/iMtarapretara/arWa-_nirvacaka/nirvacaka/xuBAfRayA/BARAnwarakAra/xuBARiyA/vyAKyAkAra
interpretor_noun	smarakaanwara
interprocedural_noun	anwara_prakriyAwmaka
interradial_noun	anwarArIya/anwara_wrijyIya
interrogate_noun	pUCawACa_karanA/paripraSna_karanA
interrogation_noun	paripraSna/pUCawACa
interrogator_noun	paripraSnaka
interrupt_noun	anwarAyaka/bAXA_dAlanA/tokanA/viGna/anwarAyana/vyavaXAna/haswakRepa_karanA
interrupter_noun	anwarAyijFa/anwarAmaka
interruption_noun	anwarAyana/anwarAyaNa/avaroXa/bAXA/viGna/vyavaXAna/kramaBafga
interruptions_noun	vyavaXAna/viGna/bAXa
intersect_noun	kAtanA/prawicCexa_karanA/prawicCexa
intersection_noun	prawicCexana/anwa:prawicCexana
interspecific_noun	anwarajAwIya
interstage_noun	anwarAcaraNa/anwaracaraNa
interstellar_noun	anwarAwArakIya
interstitial_noun	anwarAlI/anwarAkASI/anwarAlIya_xarAravAlA/bIca_ke_sWAna_meM_sWiwa
intersymbol_noun	anwarAprawIka
interval_noun	anwara/anwarAla/maXyAnwara/anwarAvaXi
intervalometer_noun	anwarAlamApI
intervene_noun	bIca_meM_padanA/anwa:kRepa_karanA/xaKala_xenA/haswakRepa_karanA
intervening_noun	maXyavarwI/anwaHsWa/xaKala_xenA/haswakRepa_karanA
intervention_noun	anwa:kRepa/bIca_meM_padanA/haswakRepa/xaKala/maXyasWawA/maXyavarwI
interview_noun	sAkRAwkAra/BeMta/iMtaravyU/BeMtavArwA
intimate_noun	sUcanA_xenA/prajFApiwa_karanA(viXi)
intimation_noun	prajFApana/sUcanA/ifwwalA
intimidation_noun	afBawrAsa/darAnA-XamakAnA
intolerance_noun	asahanaSIlawA/asahiRNuwA
intoxication_noun	mAxakawA/naSA/mawwawA
intra_noun	anwa:/Anwara
intractability_noun	xu:sAXyawA
intractable_noun	xu:sAXya
intranet_noun	anwa:jAla/iMtrAneta
intricacy_noun	jatilawA
intricate_noun	jatila/pecIxA
intrigue_noun	kucakra/sAjLSa
intrinsic_adjective	Anwarika
intrinsic_noun	nEja/sahaja/Anwarika
introduce_noun	praswuwa_karanA/paricaya_karAnA/samAviRta_karanA
introduced_noun	puraHsWApiwa
introduction_noun	praswAvanA/paricaya/pura:sWApanA
introgressive_noun	anwargAmI
introvert_noun	anwarmuKI
invalid_noun	amAnya/aviXimAnya/aSakwa
invalidation_noun	amAnyakaraNa
invalidity_noun	asamarWawA/aSakwawA
invariable_noun	aparivarwI/acara
invariant_noun	aparivarwanIya
invasion_noun	caDAI
invention_noun	AviRkAra
inventory_noun	mAla_sUcI/inaveMtarI/sAmagrI_sUcI/vaswusUcI/Pehariswa
inverse_noun	vyuwkrama/viparIwa/prawiloma
inversely_noun	vyuwkrama/viparIwa/prawiloma
inverter_noun	aMrwavarwaka/inavartara/parivarwaka/prawIpaka
investigated_noun	anveRiwa
investigation_noun	anveRaNa/jAzFca/waPawISa/jAca-padawAla/CAnabIna/jAFca/joYFca
investigations_noun	anveRaNa
investigator_noun	anveRaka
investment_noun	niveSa/pUFjI_niveSa/viniXAna(viXi)/sanniveSa
investors_noun	niveSaka
invigilation_noun	anvIkRaNa
invigilator_noun	nirIkRaka
invigorating_noun	SakwivarXaka
invigoration_noun	puStikAraka
inviolate_noun	akRawa
invitation_noun	nimanwraNa/AmanwraNa
invoice_noun	bIjaka
invoke_noun	AhvAna/uwkriya_karanA
invoking_noun	BunAnA
involuntary_noun	anEcCika
involve_noun	sammiliwa_karanA/SAmila_karanA
involved_noun	anwanihiwa/PasA_huA/sambaxXa/anwagraswa/graswa
inward_noun	Avaka
iodised_noun	Ayodiwa
ionic_UNDEFINED	AyanI
ionisation_noun	Ayanana/AyanIkaraNa
ionization_noun	Ayanana
ionogram_noun	AyanaleKa/AyanogrAma
ionosonde_noun	Ayanosonde
ionosphere_noun	AyanamaNdala/Ayana_maNdala/AyanosPiyara/AyanosPeyara
ire-scale_noun	AI.Ara.I-skela
iron-tipped_adjective	lohe_kI_topI_caDI
irradiance_noun	kiraNanawA
irradiate_verb	kiraNiwa
irradiation_noun	kiraNana
irrational_noun	ayukwa/avivekaSIla/warkahIna
irrecoverable_noun	lAvasUla/avasUlIya
irreflexive_noun	asvawulya
irregularity_noun	aniyamiwawA
irrelevance_noun	asafgawi
irrelevant_noun	asambaxXa/asafgawa
irresponsible_noun	anuwwaraxAyI/gErajafmmexAra
irreversibility_UNDEFINED	anuwkramaNIyawA
irrevocable_noun	aprawisaMharaNIya/avikalpI/atala
irrigation_noun	siMcAI/siMcana
irrigular_noun	aniyamiwa
irrotational_noun	aGUrNI
isdn_noun	AI_esa_dI_ena
isentropic_noun	AisenatrApI/samaEnatrApika
iso_noun	AI_esa_o
isobar_noun	samaxAba_reKA
isobaric_UNDEFINED	samaxAbIya
isobutane_noun	AisobyUtena
isochore_noun	samaAyawanika_reKA
isochoric_UNDEFINED	samaAyawanika
isochoric_adjective	samaAyawanika
isochromatic_noun	samavarNaka/samavarNI
isoclinic_noun	samanawa
isoentropic_noun	samaEntrApika/AisoEntrApika
isogam_noun	samaguruwvI
isohyet_noun	samavqRti_reKA
isolated_adjective	vilagiwa/viyukwa/pqWaka
isolated_noun	vilagiwa/pqWaka
isolation_noun	ekalana/vigalana/vilagana/pqWakkaraNa/viyojana/pArWakya
isolator_noun	Aisoletara/vilagakArI/pqWakkArI/vilagaka/vilagiwra
isolators_noun	vilagaka
isomerism_noun	samAvayavawA
isomorphism_noun	samAkAriwA/wulyakAriwA
isomorphous_noun	samAkqwika/prAcalika
isopleth_noun	samamAna_reKA
isopolar_noun	samaXruvI
isopycnal_noun	Aisopiknala/samaGanawva
isoradial_noun	samawrijya
isostatic_noun	samasWEwika
isotherm_UNDEFINED	samawApI
isotherm_noun	samawApa_reKA/samawApIyaka/samawApIya
isothermal_UNDEFINED	samawApIya
isothermal_adjective	samawApIya
isothermal_noun	samawApI/samawApIya
isothermally_UNDEFINED	samawApIya
isotope_noun	samasWAnika/samaprotAnika/Aisotopa
isotopic_noun	samasWAnika
isotropic_UNDEFINED	samaxESika
isotropic_noun	samaxESika/samAnuvarwI
isotropy_UNDEFINED	samaxESikawA
isotropy_noun	samaxESikawA
issue_noun	jArI/muxxA/afka/nirgama/jArI_karanA/BejanA/xenA_muxxA/vAxa-paxa(viXi)/sanwAna_afka(pawrikA)
item_noun	maxa/maxxa
itemwise_noun	maxavAra
iteration_noun	punarAvarwana/punarAvarwI/punarAvqwwi
iterator_noun	punarAvarwaka
itinerary_noun	yAwrAkrama
jack_noun	jEka/uwWApaka
jacket_noun	jEketa
jail_noun	jela/banxIgqha
jailor_noun	jelara
jamadar_noun	jamAxAra
jammer_noun	jAmaka/jEmara
jamming_noun	avaroXa/safkewa_avaroXana/jAma_karanA/jAmaka/jAma_honA/sambAXana
janitor_noun	xaravAna/cOkIxAra/xvArapAla
java_noun	jAvA
jeopardise_noun	Kaware_meM_dAlanA/KatAI_meM_dAlanA
jerk_noun	JatakA
jet_noun	jeta/praXAra
jetavator_noun	jetAvetara
jetty_noun	GAta/jetI/jEtI
jig_noun	jiga
jigs_noun	jigsa
jimsphere_noun	jimasPIyara
job_noun	kArya/joYba/kqwyaka/nOkarI/joYba_(kArya
join_noun	kAryaBAra_grahaNa_karanA/nOkarI_SurU_karanA/safmmaliwa_honA/saMyojiwa_karanA/sammilana
joining_noun	jodanA/sanXikaraNa
joint_noun	joda/saMyukwa/saMyukwi/sanXi
jointly_noun	saMyukwa_rUpa_se
joule_noun	jUla
journal_noun	pawrikA/jarnala/xEnikI/rojanAmacA/jaranala/yaWArUpa
journalist_noun	pawrakAra
journey_noun	yAwrA/saPara
journeyman_noun	jarnImEna
jpg_noun	jepIjI_(PotogrAPI_grupa)
jubilee_noun	jayanwI
judge_noun	nyAyAXISa
judgement_noun	Akalana/nirNaya
judicial_noun	nyAyika/axAlawI
judiciary_noun	nyAyapAlikA
judicious_noun	vivekasammawa
juliet_noun	julieta
jump_noun	jampa
jumper_noun	Jampaka/jampara
junction_noun	safgama_sWAna/sanXi/jafkSana
junctions_noun	safgama
junior_noun	kaniRTa
juniority_noun	kaniRTawA
junk_noun	kabAda
jupiter_noun	bqhaspawi/jupItara
jurisdiction_noun	aXikAra_kRewra/kRewrAXikAra/aXikAriwA
jurist_noun	viXiSAswrI
jury_noun	jUrI
just_noun	nyAya/uciwa/TIka
justice_noun	nyAya_(nyAyamUrwi/nyAyamUrwi/nyAyAXipawi
justiciable_noun	vAxayogya
justifiable_noun	nyAyociwa/samarWanIya
justification_noun	nyAyociwa/warkasafgawa/Ociwya/warkasafgawi
justify_noun	nyAyociwa_TaharAnA/saPAI_xenA/nyAyasafgawa_sixXa_karanA/uciwa_sixXa_karanA/Ociwya/nyAyociwa/nyAyasafgawa
jute_noun	patasana
juvenile_noun	bAla/bAlya/kiSora
k-band_noun	K-bEMda
k-function_noun	K-Palana
k_noun	kebI
kb_noun	ke_bI
kbytes_noun	kilobAIta
keck_UNDEFINED	parAvarwI
keen_noun	uwsuka
keep_noun	XaranA/raKanA
keg_noun	CotA_pIpA
kennel_noun	girI/garI
kerb_noun	upAnwa/karba
kerosene_noun	mittI_kA_wela/kerosina
key-board_noun	kuFjI_patala/kI_borda
key-driven_noun	kuFjI_caliwa
key_noun	AXAraBUwa/mUla_(muKya_(kuFjI/kuFjI/cAbI/mUla/AXAra
keyboard_noun	kuFjIpatala/kIborda
keying_noun	kuFjIyana
khalasi_noun	KalAsI
kick_noun	kika/Tokara/nikalanA/niRkAsana/prakRepa/GAwa
kidnapping_noun	vyapaharaNa/agavA
kill_noun	hanwa
kiln_noun	BatTA
kilo_noun	kilo
kilobaud_noun	kilovAda
kilobit_noun	kilo_bita
kilobyte_noun	kilobAita
kilocalorie_UNDEFINED	kilo_kElorI
kilomega_noun	kilomegA
kilometer_noun	kilomItara
kilowatt_noun	kilovAta
kind_noun	prakAra
kinematic_UNDEFINED	SuxXa_gawikI
kinematic_noun	SuxXa_gawika/SuxXagawikI
kinematically_noun	SuxXa_gawikawa:
kinematics_noun	SuxXa_gawikI/SuxXagawikI/SuxXagawi_vijFAna/SuxXa_gawi_vijFAna
kinetic_noun	gawika
kinetics_noun	balagawikI/balagawi_vijFAna
kingdom_noun	rAjya
kingfisher_noun	kiMgaPiSara
kink_noun	vikuFca
kinks_noun	eeMTana
kinno_noun	kinnU
kiosk_noun	kyoska/KokA
klystron_UNDEFINED	klAistroYna
kneader_noun	gunxiwra/gunXane/gunXaka_kI_maSIna
knob_noun	goYTa/GuNdI/mUTa/GaMudI
knock_noun	Kata-KatAnA
knot_noun	noYta_(gawi_kA_mApana)
knots_noun	goYNTa
know-how_noun	jAnakArI/wakanIkI_jAnakArI
knowingly_noun	jAnabUJakara
knowledge_noun	jAnakArI/jFAna
knowledgeable_noun	suvijFa/jAnakAra
knurling_noun	narlana/gAzTa_lagAnA/tIcA_lagAnA
ku-band_noun	KCa_-bEMda/kU-bEMda
l-band_noun	Kr_-bEMda
l-section_noun	L_-_paricCexa
lab_noun	prayogaSAlA
label_noun	lebala
labelling_noun	lebanala
lable_noun	lebala
laboratory_noun	prayogaSAlA
labour_noun	mehanawa/Srama/Sramika/Srama_(Sramika_varga/majaxUra
labourer_noun	Sramika/majaxUra
lack_noun	kamI
ladder_noun	nisenI/sIDI/ni(kolana)SreNI/sopAna
ladle_noun	lOdala
laguerre_noun	lAgera
lamelloid_noun	patalikABa
lamina_UNDEFINED	Akqwi_Palaka/Palaka
lamina_noun	patala
laminar_noun	patalIya
laminate_noun	patalana/swarikA/patala/Apattana/swaraNa
lamp_noun	lEMpa/xIpa
lampman_noun	bawwIvAna
land_noun	BUmi/uwAranA
landholder_noun	BUmiXArI
landing_noun	avawaraNa/avawaraNa_cOkI/cOkI/sopAna
landlord_noun	BU-svAmI/makAna_mAlika
landmark_noun	pahacAna_cihna/sImA_cihna
landmass_noun	BUKaNda/BU-xqSya
landowner_noun	BU-svAmI
landsat_noun	lEMdasEta
landscape_noun	BU-parixqSya
landscaping_noun	BUxarSanIkaraNa/BUxqSya
landslide_noun	BUmi_sKalana/BUmi-KisakanA/BU-sKalana
language_noun	BARA
lap_noun	lEpa/sUkRma_GarRaNa/CAxana
lapideous_noun	paWarIlA
lapping_noun	lEpana/sUkRma_GarRaNa
lapse_noun	bIwa_jAnA/vyapagawa_honA_(galawI/wruti
