aa	e~e
pennilesser	kafgAla~{wara}
pennilessest	kafgAla~{wama}
penniless	kafgAla[-]
penning	leKanI`/bAdA~{@ing}
penning	leKanI/kalama/liKanA^bAde~meM~banxa~karanA~{@ing}
penny	penI{britiSa~kareMsI}{0}
penny	penI{britiSa~kareMsI}{0}
penny's	penI{britiSa~kareMsI}{@vib:kA}
penny's	penI{britiSa~kareMsI}{@vib:kA}
penologist	xaNdaSAswrI
pen-pusher	lipika{0}
pen-pushers'	lipika{ba.}{@vib:kA}
pen-pushers	lipika{@s}
pen-pusher's	lipika{@vib:kA}
pensionable	peMSanayogya/Bqwiyogya[-]
pensionable	peMSana-yogya
pensionabler	peMSanayogya/Bqwiyogya~{wara}
pensionablest	peMSanayogya/Bqwiyogya~{wama}
pensioned	nivqwwi~vewana~{@ed/@en}
pensioner	peMSanaBogI{0}
pensioner	peMSana~BogI
pensioners'	peMSanaBogI{ba.}{@vib:kA}
pensioners	peMSanaBogI{@s}
pensioner's	peMSanaBogI{@vib:kA}
pensioning	nivqwwi~vewana~{@ing}
pension	nivqwwi~vewana{0}
pension	peMSana
pensions'	nivqwwi~vewana{ba.}{@vib:kA}
pensions	nivqwwi~vewana~{@s}
pension's	nivqwwi~vewana{@vib:kA}
pensively	viRaNNa~waraha~se^viRaNNawA~se
pensiver	viRaNNa~{wara}
pensivest	viRaNNa~{wama}
pensive	viRaNNa[-]
pens	leKanI`/bAdA~{@s}
pens'	leKanI`/bAdA{@s}{@vib:kA}
pen's	leKanI`/bAdA{@vib:kA}
pens'	leKanI/kalama/liKanA^bAde~meM~banxa~karanA{ba.}{@vib:kA}
pens	leKanI/kalama/liKanA^bAde~meM~banxa~karanA~{@s}
pen's	leKanI/kalama/liKanA^bAde~meM~banxa~karanA{@vib:kA}
pentagonal	paFcaBujIya[-]
pentagon	paFcaBujI{0}
pentagons'	paFcaBujI{ba.}{@vib:kA}
pentagons	paFcaBujI{@s}
pentagon's	paFcaBujI{@vib:kA}
pentagraph	peMtAgrAPa
pentameterer	paFcapaxI~paxya~{wara}
pentameterest	paFcapaxI~paxya~{wama}
pentameter	paFcapaxI~paxya[-]
pentameters'	paFcapaxI~paxya{ba.}{@vib:kA}
pentameters	paFcapaxI~paxya{@s}
pentameter's	paFcapaxI~paxya{@vib:kA}
penthoi	peMToI
penthouse	sAyabAna{0}
penthouses'	sAyabAna{ba.}{@vib:kA}
penthouses	sAyabAna{@s}
penthouse's	sAyabAna{@vib:kA}
pentium	peMtiyama
pent	leKanI`/bAdA~{@ed}
pent	leKanI/kalama/liKanA^bAde~meM~banxa~karanA~{@ed}
pent-uper	xabA~huA~{wara}
pentuper	xabA~huA~{wara}
pent-upest	xabA~huA~{wama}
pentupest	xabA~huA~{wama}
pent-up	xabA~huA[-]
pentup	xabA~huA[-]
penultimater	upAnwya~{wara}
penultimatest	upAnwya~{wama}
penultimates'	upAnwya{ba.}{@vib:kA}
penultimates	upAnwya{@s}
penultimate's	upAnwya{@vib:kA}
penultimate	upAnwya[-]
penuries'	xarixrawA{ba.}{@vib:kA}
penuries	xarixrawA{@s}
penuriouser	garIba~{wara}
penuriousest	garIba~{wama}
penurious	garIba[-]
penury's	xarixrawA{@vib:kA}
penury	xarixrawA{0}
peon	caparAsI
peonies'	rafga-birafge~PUloM~vAlA~pOXA{ba.}{@vib:kA}
peonies	rafga-birafge~PUloM~vAlA~pOXA{@s}
peony	rafga-birafge~PUloM~vAlA~pOXA{0}
peony's	rafga-birafge~PUloM~vAlA~pOXA{@vib:kA}
peopled	jana`~{@ed/@en}
peopled	loga^janawA~{@ed/@en}
people	loga^janawA{@s}
people	loga
peoples	jana`~{@s}
people's	jana`{@s}{@vib:kA}
peoples'	jana`{@s}{@vib:kA}
people's	loga^janawA{ba.}{@vib:kA}
peoples'	loga^janawA{ba.}{@vib:kA}
peoples	loga^janawA~{@s}
peopling	jana`~{@ing}
peopling	loga^janawA~{@ing}
pep	owa~prewa~karanA{0}
pepped	owa~prewa~karanA~{@ed/@en}
peppered	gola~mirca^eka~prakAra~kA~sabjI~{@ed/@en}
peppered	kAlImirca~{@ed/@en}
pepper	gola~mirca^eka~prakAra~kA~sabjI{0}
peppering	gola~mirca^eka~prakAra~kA~sabjI~{@ing}
peppering	kAlImirca~{@ing}
pepper	kAlImirca{0}
peppermint	pIparamiMta{0}
peppermints'	pIparamiMta{ba.}{@vib:kA}
peppermints	pIparamiMta{@s}
peppermint's	pIparamiMta{@vib:kA}
peppers'	gola~mirca^eka~prakAra~kA~sabjI{ba.}{@vib:kA}
peppers	gola~mirca^eka~prakAra~kA~sabjI~{@s}
pepper's	gola~mirca^eka~prakAra~kA~sabjI{@vib:kA}
peppers	kAlImirca~{@s}
peppers'	kAlImirca{@s}{@vib:kA}
pepper's	kAlImirca{@vib:kA}
pepping	owa~prewa~karanA~{@ing}
peps'	owa~prewa~karanA{ba.}{@vib:kA}
peps	owa~prewa~karanA~{@s}
pep's	owa~prewa~karanA{@vib:kA}
peptic	agnivarXaka/pAcaka[-]
pepticer	agnivarXaka/pAcaka~{wara}
pepticest	agnivarXaka/pAcaka~{wama}
perambulation	cahalakaxamI{0}
perambulations'	cahalakaxamI{ba.}{@vib:kA}
perambulations	cahalakaxamI{@s}
perambulation's	cahalakaxamI{@vib:kA}
perambulator	baccA~gAdI{0}
perambulators'	baccA~gAdI{ba.}{@vib:kA}
perambulators	baccA~gAdI{@s}
perambulator's	baccA~gAdI{@vib:kA}
perceived	meVhasUsa~karanA^xeKanA/samaJanA~{@ed/@en}
perceive	meVhasUsa~karanA^xeKanA/samaJanA{0}
perceives	meVhasUsa~karanA^xeKanA/samaJanA~{@s}
perceiving	meVhasUsa~karanA^xeKanA/samaJanA~{@ing}
percentage	prawiSawa~meM{0}
percentage	prawiSawawA^aMSa{0}
percentages	prawiSawa~meM{@s}
percentages'	prawiSawa~meM{@s}{@vib:kA}
percentage's	prawiSawa~meM{@vib:kA}
percentages'	prawiSawawA^aMSa{ba.}{@vib:kA}
percentages	prawiSawawA^aMSa{@s}
percentage's	prawiSawawA^aMSa{@vib:kA}
percent	prawiSawa{eka.ba.}
percent	prawiSawa{eka.ba.}
percent's	prawiSawa{@vib:kA}{ba.}+kA
percent's	prawiSawa{@vib:kA}{@s}+kA
perceptible	prawyakRa^iMxriya~grAhya[-]
perceptibler	prawyakRa^iMxriya~grAhya~{wara}
perceptiblest	prawyakRa^iMxriya~grAhya~{wama}
perceptibly	prawyakRarUpa~se
perception	prawyakRa~jFAna^najariyA{0}
perception	prawyakRa~jFAna^prawipawwi~jFAna{0}
perceptions	prawyakRa~jFAna^najariyA{@s}
perceptions'	prawyakRa~jFAna^najariyA{@s}{@vib:kA}
perception's	prawyakRa~jFAna^najariyA{@vib:kA}
perceptions'	prawyakRa~jFAna^prawipawwi~jFAna{ba.}{@vib:kA}
perceptions	prawyakRa~jFAna^prawipawwi~jFAna{@s}
perception's	prawyakRa~jFAna^prawipawwi~jFAna{@vib:kA}
perceptive	jFAnaviRayaka^jalxI~jFAna~grahaNa~karanevAlA[-]
perceptively	kuSAgrabuxXi~se
perceptiver	jFAnaviRayaka^jalxI~jFAna~grahaNa~karanevAlA~{wara}
perceptivest	jFAnaviRayaka^jalxI~jFAna~grahaNa~karanevAlA~{wama}
perch	addA{cidiyoM~Axi~ke~bETane~kA}{adde_para}^UzcA~sWAna{0}
perchance	kaxAciwa
perched	addA{cidiyoM~Axi~ke~bETane~kA}^UzcA~sWAna~{@ed/@en}
perches'	addA{cidiyoM~Axi~ke~bETane~kA}^UzcA~sWAna{ba.}{@vib:kA}
perches	addA{cidiyoM~Axi~ke~bETane~kA}^UzcA~sWAna~{@s}
perching	addA{cidiyoM~Axi~ke~bETane~kA}^UzcA~sWAna~{@ing}
perch's	addA{cidiyoM~Axi~ke~bETane~kA}^UzcA~sWAna{@vib:kA}
percipent	jalxI~grahaNa~karane~yogya
percolate	bUnxa~bUnxa~karake~tapakanA{0}
percolated	bUnxa~bUnxa~karake~tapakanA~{@ed/@en}
percolates'	bUnxa~bUnxa~karake~tapakanA{ba.}{@vib:kA}
percolates	bUnxa~bUnxa~karake~tapakanA~{@s}
percolate's	bUnxa~bUnxa~karake~tapakanA{@vib:kA}
percolating	bUnxa~bUnxa~karake~tapakanA~{@ing}
percolation	uwpAAraNa
percolator	kAPI~banAne~kA~yanwra{0}
percolators'	kAPI~banAne~kA~yanwra{ba.}{@vib:kA}
percolators	kAPI~banAne~kA~yanwra{@s}
percolator's	kAPI~banAne~kA~yanwra{@vib:kA}
percussionists'	vAxya~yanwra~bajAnevAlA{ba.}{@vib:kA}
percussionists	vAxya~yanwra~bajAnevAlA{@s}
percussionist's	vAxya~yanwra~bajAnevAlA{@vib:kA}
percussionist	vAxya~yanwra~bajAnevAlA{0}
percussions'	wabalA~Axi~vAxya~yanwra^vAxya~yanwra~viBAga{ba.}{@vib:kA}
percussions	wabalA~Axi~vAxya~yanwra^vAxya~yanwra~viBAga{@s}
percussion's	wabalA~Axi~vAxya~yanwra^vAxya~yanwra~viBAga{@vib:kA}
percussion	wabalA~Axi~vAxya~yanwra^vAxya~yanwra~viBAga{0}
perdition	naraka~vAsa{0}
perditions'	naraka~vAsa{ba.}{@vib:kA}
perditions	naraka~vAsa{@s}
perdition's	naraka~vAsa{@vib:kA}
peregrine	baharI[-]
peregriner	baharI~{wara}
peregrinest	baharI~{wama}
peremptorier	anawikramaNIya~{wara}
peremptoriest	anawikramaNIya~{wama}
peremptorily	alafGanIya~rUpa~se
peremptory	anawikramaNIya[-]
perennial	Avqwwi~pAnevAlI^cirasWAyI[-]
perennialer	Avqwwi~pAnevAlI^cirasWAyI~{wara}
perennialest	Avqwwi~pAnevAlI^cirasWAyI~{wama}
Perennially	pUre~varRa
perennials'	Avqwwi~pAnevAlI^cirasWAyI{ba.}{@vib:kA}
perennials	Avqwwi~pAnevAlI^cirasWAyI{@s}
perennial's	Avqwwi~pAnevAlI^cirasWAyI{@vib:kA}
perestroika	ArWika~yA~rAjakIya~saMskaraNa
perfect	bilkula~TIka^sampUrNa[-]{0}
perfected	bilkula~TIka^sampUrNa~{@ed/@en}
perfected	wrutirahiwa^bilkula~TIka~{@ed/@en}
perfecter	bilkula~TIka^sampUrNa~{wara}
perfectest	bilkula~TIka^sampUrNa~{wama}
perfectest	wrutirahiwa^bilkula~TIka~{wama}
perfecting	bilkula~TIka^sampUrNa~{@ing}
perfecting	wrutirahiwa^bilkula~TIka~{@ing}
perfectionister	pUrNawAvAxI~{wara}
perfectionistest	pUrNawAvAxI~{wama}
perfectionist	pUrNawAvAxI[-]
perfectionists'	pUrNawAvAxI{ba.}{@vib:kA}
perfectionists	pUrNawAvAxI{@s}
perfectionist's	pUrNawAvAxI{@vib:kA}
perfection	sampUrNawA/nirxoRawA^pravINawA{0}
perfections'	sampUrNawA/nirxoRawA^pravINawA{ba.}{@vib:kA}
perfections	sampUrNawA/nirxoRawA^pravINawA{@s}
perfection's	sampUrNawA/nirxoRawA^pravINawA{@vib:kA}
perfectly	pUrNawaH^bilkula
perfectly	wrutirahiwa~rUpa~se
perfects'	bilkula~TIka^sampUrNa{ba.}{@vib:kA}
perfects	bilkula~TIka^sampUrNa~{@s}
perfect's	bilkula~TIka^sampUrNa{@vib:kA}
perfects	wrutirahiwa^bilkula~TIka~{@s}
perfects'	wrutirahiwa^bilkula~TIka{@s}{@vib:kA}
perfect's	wrutirahiwa^bilkula~TIka{@vib:kA}
perfect	wrutirahiwa^bilkula~TIka[-]{0}
perfidies'	kapata{ba.}{@vib:kA}
perfidies	kapata{@s}
perfidiouser	viSvAsaGAwI~{wara}
perfidiousest	viSvAsaGAwI~{wama}
perfidious	viSvAsaGAwI[-]
perfidy	kapata{0}
perfidy's	kapata{@vib:kA}
perforace	balapUrvaka
perforate	CexanA[-]{0}
perforated	CexanA~{@ed/@en}
perforater	CexanA~{wara}
perforates	CexanA~{@s}
perforatest	CexanA~{wama}
perforating	CexanA~{@ing}
perforation	CexoM~kI~kawAra{0}
perforations'	CexoM~kI~kawAra{ba.}{@vib:kA}
perforations	CexoM~kI~kawAra{@s}
perforation's	CexoM~kI~kawAra{@vib:kA}
perforce	jabaraxaswI/balAw
performability	niRpAxanIyawA
performance	kArya^kalA~praxarSana-2{0}
performance	praxarSana^anuRTAna{0}
performances	kArya^kalA~praxarSana{@s}
performances'	kArya^kalA~praxarSana{@s}{@vib:kA}
performance's	kArya^kalA~praxarSana{@vib:kA}
performances'	praxarSana^anuRTAna{ba.}{@vib:kA}
performances	praxarSana^anuRTAna{@s}
performance's	praxarSana^anuRTAna{@vib:kA}
performed	*~kara^karanA~{@ed/@en}
performed	kArya^kalA~praxarSana~{@ed/@en}
performer	aBinewA/karwA{0}
performers'	aBinewA/karwA{ba.}{@vib:kA}
performers	aBinewA/karwA{@s}
performer's	aBinewA/karwA{@vib:kA}
performing	*~kara^karanA~{@ing}
performing	kArya^kalA~praxarSana~{@ing}
perform	*~kara^karanA{0}
perform	kArya^kalA~praxarSani-1{0}
performs	*~kara^karanA~{@s}
performs	kArya^kalA~praxarSana~{@s}
perfrumery	iwra~banane~yA~bikane~kI~xukAna
perfumed	iwra^KuSabU~{@ed/@en}
perfume	iwra^KuSabU{0}
perfumes'	iwra^KuSabU{ba.}{@vib:kA}
perfumes	iwra^KuSabU~{@s}
perfume's	iwra^KuSabU{@vib:kA}
perfuming	iwra^KuSabU~{@ing}
perfunctorier	uwsAhahIna~{wara}
perfunctoriest	uwsAhahIna~{wama}
perfunctory	uwsAhahIna[-]
pergola	maNdapa{0}
pergolas'	maNdapa{ba.}{@vib:kA}
pergolas	maNdapa{@s}
pergola's	maNdapa{@vib:kA}
perhaps	samBavawaH^SAyaxa
perhaps	SAyaxa
peri	cAroM~ora~ke~arWa~meM~upasarga{0}
perigrination	yAwrA
perilious	KawaranAka
periliously	safkatapUrNa~rUpa~se
peril	KawarA^KawaranAka~sWiwi{0}
perils'	KawarA^KawaranAka~sWiwi{ba.}{@vib:kA}
perils	KawarA^KawaranAka~sWiwi{@s}
peril's	KawarA^KawaranAka~sWiwi{@vib:kA}
perimeter	pariXi{0}
perimeters'	pariXi{ba.}{@vib:kA}
perimeters	pariXi{@s}
perimeter's	pariXi{@vib:kA}
periodical	AvaXika
periodicer	niyawakAlika/niyawakAla~meM/niyawakAlika~{wara}
periodicest	niyawakAlika/niyawakAla~meM/niyawakAlika~{wama}
periodicity	AvaXikawA
periodic	niyawakAlika/niyawakAla~meM/niyawakAlika[-]
period	kAlAvaXi{0}
period	kAla^yuga{0}
periods	kAlAvaXi{@s}
periods'	kAlAvaXi{@s}{@vib:kA}
period's	kAlAvaXi{@vib:kA}
periods'	kAla^yuga{ba.}{@vib:kA}
periods	kAla^yuga{@s}
period's	kAla^yuga{@vib:kA}
peripateticer	jagaha~jagaha~GUmanevAlA~{wara}
peripateticest	jagaha~jagaha~GUmanevAlA~{wama}
peripatetic	jagaha~jagaha~GUmanevAlA[-]
peripatetics'	jagaha~jagaha~GUmanevAlA{ba.}{@vib:kA}
peripatetics	jagaha~jagaha~GUmanevAlA{@s}
peripatetic's	jagaha~jagaha~GUmanevAlA{@vib:kA}
peripheraler	gONa^sawahI~{wara}
peripheralest	gONa^sawahI~{wama}
peripheral	gONa^sawahI[-]
peripheral	pariXIyaStorage-Devices
peripherals'	gONa^sawahI{ba.}{@vib:kA}
peripherals	gONa^sawahI{@s}
peripheral's	gONa^sawahI{@vib:kA}
peripheries'	GerA{ba.}{@vib:kA}
peripheries	GerA{@s}
periphery	GerA{0}
periphery's	GerA{@vib:kA}
peris'	cAroM~ora~ke~arWa~meM~upasarga{ba.}{@vib:kA}
peris	cAroM~ora~ke~arWa~meM~upasarga{@s}
peri's	cAroM~ora~ke~arWa~meM~upasarga{@vib:kA}
perishable	bigadanevAlA[-]
perishabler	bigadanevAlA~{wara}
perishables'	bigadanevAlA{ba.}{@vib:kA}
perishables	bigadanevAlA{@s}
perishable's	bigadanevAlA{@vib:kA}
perishablest	bigadanevAlA~{wama}
perished	maranA^sada~jAnA~{@ed/@en}
perishes	maranA^sada~jAnA~{@s}
perishinger	mAra~xenevAlA^marajAnI~{wara}
perishingest	mAra~xenevAlA^marajAnI~{wama}
perishing	maranA^sada~jAnA~{@ing}[-]
perish	maranA^sada~jAnA{0}
peritonitises'	peta~kI~JillI~kA~roga{ba.}{@vib:kA}
peritonitises	peta~kI~JillI~kA~roga{@s}
peritonitis	peta~kI~JillI~kA~roga{0}
peritonitis's	peta~kI~JillI~kA~roga{@vib:kA}
Periwinkle	saxAbahAra^GoMGA
perjured	nyAyAlaya~meM~JUta~bolane~kI~prakriyA/nyAyAlaya~meM~JUta~bolanA~{@ed/@en}
perjure	nyAyAlaya~meM~JUta~bolane~kI~prakriyA/nyAyAlaya~meM~JUta~bolanA{0}
perjures	nyAyAlaya~meM~JUta~bolane~kI~prakriyA/nyAyAlaya~meM~JUta~bolanA~{@s}
perjuring	nyAyAlaya~meM~JUta~bolane~kI~prakriyA/nyAyAlaya~meM~JUta~bolanA~{@ing}
perjury	SapaWaBafga/SapaWa~para~miWyA~sAkRya/JUTI~gavAhI
perked	parilabXi^anulABa~{@ed/@en}
perker	parilabXi^anulABa~{wara}
perkest	parilabXi^anulABa~{wama}
perkier	PurwIlA^uxXawa~{wara}
perkiest	PurwIlA^uxXawa~{wama}
perkiness	akada{0}
perkinesses'	akada{ba.}{@vib:kA}
perkinesses	akada{@s}
perkiness's	akada{@vib:kA}
perking	parilabXi^anulABa~{@ing}
perk	parilabXi^anulABa[-]{0}
perks'	parilabXi^anulABa{ba.}{@vib:kA}
perks	parilabXi^anulABa~{@s}
perk's	parilabXi^anulABa{@vib:kA}
perky	PurwIlA^uxXawa[-]
perl	palaREP
permafrosts'	sWAyI~wURAra{ba.}{@vib:kA}
permafrosts	sWAyI~wURAra{@s}
permafrost's	sWAyI~wURAra{@vib:kA}
permafrost	sWAyI~wURAra{0}
permanences'	sWAyiwva{ba.}{@vib:kA}
permanences	sWAyiwva{@s}
permanence's	sWAyiwva{@vib:kA}
permanence	sWAyiwva{0}
permanency	sWAyiwva
permanenter	sWAyI~{wara}
permanentest	sWAyI~{wama}
permanentest	sWAyI~{wama}
permanently	sWAyI~rUpa~se
permanent	sWAyI[-]
permanent	sWAyI[-]
perm	bAloM~ko~lahariyAxAra~banAne~kI~kriyA/bAloM~ko~lahariyAxAra~banAnA{0}
permeabilities'	pAragamyawA{ba.}{@vib:kA}
permeabilities	pAragamyawA{@s}
permeability	pAragamyawA{0}
permeability's	pAragamyawA{@vib:kA}
permeated	pAragamya/meM~PEla~jAnA~{@ed/@en}
permeate	pAragamya/meM~PEla~jAnA{0}
permeates	pAragamya/meM~PEla~jAnA~{@s}
permeating	pAragamya/meM~PEla~jAnA~{@ing}
permeation	pAragamana{0}
permeations'	pAragamana{ba.}{@vib:kA}
permeations	pAragamana{@s}
permeation's	pAragamana{@vib:kA}
permissible	anujFeya[-]
permissibler	anujFeya~{wara}
permissiblest	anujFeya~{wama}
permission	anumawi{0}
permission	ijAjawa{0}
permissions	anumawi{@s}
permissions'	anumawi{@s}{@vib:kA}
permission's	anumawi{@vib:kA}
permissions'	ijAjawa{ba.}{@vib:kA}
permissions	ijAjawa{@s}
permission's	ijAjawa{@vib:kA}
permissive	anumawi~xene~vAlA[-]
permissiver	anumawi~xene~vAlA~{wara}
permissivest	anumawi~xene~vAlA~{wama}
permit	anUjFA/anumawi~xenA^karane~xenA{0}
permit	anumawi`{0}
permits'	anUjFA/anumawi~xenA^karane~xenA{ba.}{@vib:kA}
permits	anUjFA/anumawi~xenA^karane~xenA~{@s}
permit's	anUjFA/anumawi~xenA^karane~xenA{@vib:kA}
permits	anumawi`~{@s}
permits'	anumawi`{@s}{@vib:kA}
permit's	anumawi`{@vib:kA}
permitted	anUjFA/anumawi~xenA^karane~xenA~{@ed/@en}
permitted	anumawi`~{@ed/@en}
permitting	anUjFA/anumawi~xenA^karane~xenA~{@ing}
permitting	anumawi`~{@ing}
perms'	bAloM~ko~lahariyAxAra~banAne~kI~kriyA/bAloM~ko~lahariyAxAra~banAnA{ba.}{@vib:kA}
perms	bAloM~ko~lahariyAxAra~banAne~kI~kriyA/bAloM~ko~lahariyAxAra~banAnA{@s}
perm's	bAloM~ko~lahariyAxAra~banAne~kI~kriyA/bAloM~ko~lahariyAxAra~banAnA{@vib:kA}
permutation	kramacaya{0}
permutations'	kramacaya{ba.}{@vib:kA}
permutations	kramacaya{@s}
permutation's	kramacaya{@vib:kA}
perniciouser	hAnikara~{wara}
perniciousest	hAnikara~{wama}
pernicious	hAnikara[-]
pernicketier	xuRwoRaNIya~{wara}
pernicketiest	xuRwoRaNIya~{wama}
pernickety	xuRwoRaNIya[-]
perorations'	upasaMhAra{ba.}{@vib:kA}
perorations	upasaMhAra{@s}
peroration's	upasaMhAra{@vib:kA}
peroration	upasaMhAra{0}
peroxided	rasAyanika~{@ed/@en}
peroxide	rasAyanika{0}
peroxides'	rasAyanika{ba.}{@vib:kA}
peroxides	rasAyanika~{@s}
peroxide's	rasAyanika{@vib:kA}
peroxiding	rasAyanika~{@ing}
perpendicular	aBilamba^sIXA[-]
perpendicularer	aBilamba^sIXA~{wara}
perpendicularest	aBilamba^sIXA~{wama}
perpendiculars'	aBilamba^sIXA{ba.}{@vib:kA}
perpendiculars	aBilamba^sIXA{@s}
perpendicular's	aBilamba^sIXA{@vib:kA}
perperator	pApa~karma~karane~vAlA
perpetrated	kara~dAlanA~{@ed/@en}
perpetrated	pApa~yA~xoRa~karanA~{@ed/@en}
perpetrate	kara~dAlanA{0}
perpetrate	pApa~yA~xoRa~karanA{0}
perpetrates	kara~dAlanA~{@s}
perpetrates	pApa~yA~xoRa~karanA~{@s}
perpetrating	kara~dAlanA~{@ing}
perpetrating	pApa~yA~xoRa~karanA~{@ing}
perpetration	aparAXa~karma{0}
perpetrations'	aparAXa~karma{ba.}{@vib:kA}
perpetrations	aparAXa~karma{@s}
perpetration's	aparAXa~karma{@vib:kA}
perpetual	cirasWAyI^niranwara[-]
perpetualer	cirasWAyI^niranwara~{wara}
perpetualest	cirasWAyI^niranwara~{wama}
perpetually	cirasWAyI~waraha~se
perpetuals'	cirasWAyI^niranwara{ba.}{@vib:kA}
perpetuals	cirasWAyI^niranwara{@s}
perpetual's	cirasWAyI^niranwara{@vib:kA}
perpetuated	sWAyI~banAnA~{@en}
perpetuates	sWAyI~banAnA~{@s}
perpetuate	sWAyI~banAnA{0}
perpetuations'	sWAyIkaraNa{ba.}{@vib:kA}
perpetuations	sWAyIkaraNa{@s}
perpetuation's	sWAyIkaraNa{@vib:kA}
perpetuation	sWAyIkaraNa{0}
perpetuities'	niranwarawA{ba.}{@vib:kA}
perpetuities	niranwarawA{@s}
perpetuity	niranwarawA{0}
perpetuity's	niranwarawA{@vib:kA}
perpexedly	vyAkulawA~se
perplexed	vyAkula~karanA~{@ed/@en}
perplexes	vyAkula~karanA~{@s}
perplexing	vyAkula~karanA~{@ing}
perplexities'	GabarAhata^jatilawA{ba.}{@vib:kA}
perplexities	GabarAhata^jatilawA{@s}
perplexity	GabarAhata^jatilawA{0}
perplexity's	GabarAhata^jatilawA{@vib:kA}
perplex	vyAkula~karanA{0}
per	prawi-
perquisite	anulABa^prAXikAra{0}
perquisites'	anulABa^prAXikAra{ba.}{@vib:kA}
perquisites	anulABa^prAXikAra{@s}
perquisite's	anulABa^prAXikAra{@vib:kA}
perries'	nASapAwI~kI~maxirA{ba.}{@vib:kA}
perries	nASapAwI~kI~maxirA{@s}
perry	nASapAwI~kI~maxirA{0}
perry's	nASapAwI~kI~maxirA{@vib:kA}
persecuted	uwpIdiwa~karanA^sawAnA~{@ed/@en}
persecutes	uwpIdiwa~karanA^sawAnA~{@s}
persecute	uwpIdiwa~karanA^sawAnA{0}
persecuting	uwpIdiwa~karanA^sawAnA~{@ing}
persecutions'	uwpIdana{ba.}{@vib:kA}
persecutions	uwpIdana{@s}
persecution's	uwpIdana{@vib:kA}
persecution	uwpIdana{0}
persecutor	awyAcArI
persecutors	uwpIdaka/awyAcArI
persentation	praswuwIkaraNa^upahAra
perserve	niranwara~prayawna~karanA
perseverance	niranwara~prayawna/xqDawA{0}
perseverances'	niranwara~prayawna/xqDawA{ba.}{@vib:kA}
perseverances	niranwara~prayawna/xqDawA{@s}
perseverance's	niranwara~prayawna/xqDawA{@vib:kA}
persevered	niranwara~prayawna~karawe~rahanA^niranwara~prayawna~karanA~{@ed/@en}
persevere	niranwara~prayawna~karawe~rahanA^niranwara~prayawna~karanA{0}
perseveres	niranwara~prayawna~karawe~rahanA^niranwara~prayawna~karanA~{@s}
persevering	niranwara~prayawna~karawe~rahanA^niranwara~prayawna~karanA~{@ing}
persian	PArasI~[BARA/nivAsI]
persians	PArasI
persimmons'	weMxU~Pala{ba.}{@vib:kA}
persimmons	weMxU~Pala{@s}
persimmon's	weMxU~Pala{@vib:kA}
persimmon	weMxU~Pala{0}
persisted	pakade~rahanA{bAwa~Axi}[>xqDa~rahanA]~{@ed/@en}
persisted	xqDa~rahanA^adajAnA~{@ed/@en}
persistence	aBiniveSa/jixa^avasWiwi{0}
persistences'	aBiniveSa/jixa^avasWiwi{ba.}{@vib:kA}
persistences	aBiniveSa/jixa^avasWiwi{@s}
persistence's	aBiniveSa/jixa^avasWiwi{@vib:kA}
persistencies'	aBiniveSa/jixa^avasWiwi{ba.}{@vib:kA}
persistencies	aBiniveSa/jixa^avasWiwi{@s}
persistency	aBiniveSa/jixa^avasWiwi{0}
persistency's	aBiniveSa/jixa^avasWiwi{@vib:kA}
persistent	datA~rahanevAlA[-]
persistenter	jixxI`^xqDa/jixxI~{wara}
persistentest	datA~rahanevAlA~{wama}
persistentest	jixxI`^xqDa/jixxI~{wama}
persistent	jixxI`^xqDa/jixxI[-]
persistently	jixxI`~waraha~se
persisting	pakade~rahanA{bAwa~Axi}[>xqDa~rahanA]~{@ing}
persisting	xqDa~rahanA^adajAnA~{@ing}
persist	pakade~rahanA{bAwa~Axi}[>xqDa~rahanA]{0}
persists	pakade~rahanA{bAwa~Axi}[>xqDa~rahanA]~{@s}
persists	xqDa~rahanA^adajAnA~{@s}
persist	xqDa~rahanA^adajAnA{0}
persnicketier	xuRwoRaNIya~{wara}
persnicketiest	xuRwoRaNIya~{wama}
persnickety	xuRwoRaNIya[-]
persona	aBinaya{0}
personabler	sunxara~{wara}
personablest	sunxara~{wama}
personable	sunxara[-]
personae	aBinaya{@s}
personae's	aBinaya{ba.}{@vib:kA}
personage	mAnya~vyakwi{0}
personages'	mAnya~vyakwi{ba.}{@vib:kA}
personages	mAnya~vyakwi{@s}
personage's	mAnya~vyakwi{@vib:kA}
personaler	vEyakwika^vyakwigawa~{wara}
personalest	vEyakwika^vyakwigawa~{wama}
personalest	vEyakwika~{wama}
personalised	vyakwigawa~banA~lenA~{@ed/@en}
personalises	vyakwigawa~banA~lenA~{@s}
personalise	vyakwigawa~banA~lenA{0}
personalising	vyakwigawa~banA~lenA~{@ing}
personalities	vyakwiwva{@s}
personalities'	vyakwiwva{@s}{@vib:kA}
personalities'	vyakwiwva^viSeRa~cariwra{ba.}{@vib:kA}
personalities	vyakwiwva^viSeRa~cariwra{@s}
personality's	vyakwiwva{@vib:kA}
personality's	vyakwiwva^viSeRa~cariwra{@vib:kA}
personality	vyakwiwva{0}
personality	vyakwiwva^viSeRa~cariwra{0}
personalized	vyakwigawa~banA~lenA~{@ed/@en}
personalizes	vyakwigawa~banA~lenA~{@s}
personalize	vyakwigawa~banA~lenA{0}
personalizing	vyakwigawa~banA~lenA~{@ing}
personally	svayaM^vyakwigawa~rUpa~se
personally	vyakwigagawa~rUpa~se
